Port_Config,Angle_Cmd_Deg,V_CH1,V_CH2,Score,Angle_Phys_Deg,Actual_BeamPeak,Angle_Error_Deg
0,30.0,6.0,6.0,0.478,-30.0,-29.14,0.86
0,22.5,5.75,5.75,0.628,-22.5,-22.73,-0.23
0,15.0,5.75,5.75,0.708,-15.0,-15.45,-0.45
0,7.5,5.0,5.0,0.66,-7.5,-8.53,-1.03
0,-0.0,3.05,3.1,0.31,0.0,0.64,0.64
0,-7.5,1.85,1.925,0.725,7.5,8.53,1.03
0,-15.0,1.85,1.925,0.59,15.0,15.45,0.45
0,-22.5,1.2,1.3,0.61,22.5,23.71,1.21
0,-30.0,0.85,0.975,0.538,30.0,30.26,0.26
1,-30.0,5.25,5.25,0.535,-30.0,-25.02,4.98
1,-22.5,6.25,6.25,0.458,-22.5,-22.78,-0.28
1,-15.0,6.5,6.5,0.62,-15.0,-15.45,-0.45
1,-7.5,5.0,5.0,0.672,-7.5,-10.21,-2.71
1,0.0,2.625,2.7,0.535,0.0,2.51,2.51
1,7.5,2.35,2.425,0.582,7.5,6.84,-0.66
1,15.0,1.75,1.825,0.622,15.0,15.45,0.45
1,22.5,0.675,0.8,0.542,22.5,20.56,-1.94
1,30.0,2.15,2.225,0.405,30.0,30.26,0.26
